N	3gram	Propp_Isto_5	UchenyiS
1	не может быть	3	4
2	в то же	1	3
3	то же время	1	3
4	с другой стороны	8	3
5	в самом деле	1	2
6	до сих пор	2	2
7	еще ничего не	1	2
8	в том что	2	2
9	может быть в	1	1
10	с одной стороны	7	1
11	это верно но	1	1
12	на то что	2	1
13	не только в	2	1
14	друг с другом	2	1
15	в частности с	1	1
16	она все же	1	1
17	имеются не только	1	1
18	сводится к следующему	1	1
19	тем что он	2	1
20	можно сказать что	1	1
21	в своей работе	1	1
22	но это не	2	1
23	и не только	1	1
24	другой стороны в	1	1
25	в ней не	1	1
26	не в том	1	1
27	само по себе	1	1
28	в этом случае	7	1
29	с тем что	1	1
30	это было бы	1	1
31	в данном случае	2	1
32	сам по себе	1	1
33	в изобразительном искусстве	1	1
