1	и т д	3	15
2	с точки зрения	8	8
3	это значит что	2	8
4	в том что	3	6
5	и не только	1	5
6	о том что	1	4
7	одна и та	2	4
8	одно и то	1	4
9	в связи с	7	4
10	и та же	2	4
11	с другой стороны	1	4
12	то же время	4	4
13	пространства и времени	2	4
14	и то же	1	4
15	не может не	1	3
16	сами по себе	2	3
17	в то же	4	3
18	то время как	1	3
19	не может быть	1	3
20	можно сказать что	1	3
21	может быть и	2	3
22	в то время	1	3
23	с тех пор	1	2
24	до сих пор	2	2
25	в той или	1	2
26	это вовсе не	1	2
27	с самого начала	1	2
28	и говорить о	1	2
29	и т п	11	2
30	в виду что	1	2
31	то же самое	2	2
32	в широком смысле	1	2
33	не только в	5	2
34	и должно быть	2	2
35	потому что они	2	2
36	с нею в	1	2
37	как и все	1	2
38	и прежде всего	3	2
39	в данном случае	1	2
40	как бы ни	1	2
41	это не значит	1	2
42	на первый взгляд	1	1
43	друг с другом	4	1
44	но и в	3	1
45	же самое мы	1	1
46	к тому что	1	1
47	мы будем говорить	1	1
48	все более и	1	1
49	ни с чем	1	1
50	из многих его	1	1
51	вещей и явлений	6	1
52	и как бы	1	1
53	но при этом	1	1
54	в другом случае	1	1
55	и в другом	1	1
56	в конце концов	1	1
57	и в нем	1	1
58	в своем строении	1	1
59	и в этом	3	1
60	во всех своих	1	1
61	должно быть по	1	1
62	и в то	3	1
63	время человеческой жизни	1	1
64	по сравнению с	1	1
65	как мы уже	4	1
66	нечего и говорить	1	1
67	жизни так и	1	1
68	он не был	2	1
69	указанные нами выше	1	1
70	и всех его	1	1
71	бы она ни	2	1
72	должно быть осуществлено	1	1
73	и пр и	1	1
74	в этом отношении	2	1
75	еще никогда не	1	1
76	но это значит	1	1
77	весь мир как	1	1
78	равно как и	2	1
79	что на самом	1	1
80	мы уже сказали	3	1
81	но не на	1	1
82	и все его	1	1
83	каждой из них	1	1
84	так как все	1	1
85	той или иной	1	1
86	о том как	3	1
87	он не знал	1	1
88	с одной стороны	1	1
89	на самом деле	1	1
90	они вовсе не	1	1
91	есть прежде всего	1	1
92	что и в	1	1
93	именно в том	1	1
94	но все же	1	1
95	она еще не	1	1
96	мы уже говорили	3	1
97	связи с этим	2	1
98	момент в ней	1	1
99	так что в	1	1
100	сказать что здесь	1	1
101	более и более	1	1
102	с чем не	1	1
103	со всех сторон	1	1
104	тела и его	2	1
105	вместе с тем	1	1
106	и вместе с	1	1
107	во все стороны	2	1
108	том что он	1	1
109	и пр все	1	1
110	все в мире	1	1
111	с ним в	1	1
112	времени в античном	1	1
113	человеческой жизни и	2	1
114	новый смысл и	1	1
