N	3gram	Nazirov_Vr_1	Hudozhes
1	в том что	2	11
2	о том что	1	7
3	в то же	4	4
4	то же время	4	4
5	а между тем	1	3
6	тем не менее	1	3
7	но при этом	1	3
8	а п скафтымов	1	3
9	в соответствии с	1	3
10	не может быть	2	3
11	так же как	1	2
12	и в то	1	2
13	и в этом	1	2
14	не только не	1	2
15	как он сам	1	2
16	с точки зрения	2	2
17	о том как	1	2
18	до сих пор	1	2
19	заключается в том	1	1
20	не должна заслонять	1	1
21	точно так же	1	1
22	в это время	1	1
23	да и в	1	1
24	тем что он	1	1
25	по нашему убеждению	2	1
26	что это за	1	1
27	тургенева и достоевского	8	1
28	а с другой	1	1
29	едва ли не	1	1
30	в то время	1	1
31	и то что	1	1
32	в котором он	1	1
33	способности к самостоятельному	1	1
34	в этом отношении	1	1
35	и в самом	1	1
36	и это было	1	1
37	о том же	1	1
38	и о которой	1	1
39	в ответ на	1	1
40	при этом он	1	1
41	все же не	1	1
42	у него в	1	1
43	с другой стороны	1	1
44	и все же	5	1
45	то что я	1	1
46	в это же	1	1
47	это за человек	1	1
48	и все что	1	1
49	как бы в	1	1
