N	3gram	Bakhtin_KF_1	Myshleni
1	для того чтобы	1	14
2	по отношению к	22	12
3	в том что	2	11
4	с точки зрения	9	9
5	в известном смысле	1	7
6	то же самое	1	4
7	и тот же	1	3
8	вопрос о том	2	3
9	один и тот	1	3
10	и того же	1	3
11	вместо того чтобы	1	3
12	в лучшем случае	1	3
13	одного и того	1	3
14	в свою очередь	1	3
15	не может быть	11	3
16	лежит в основе	1	2
17	включает в себя	2	2
18	потому что в	1	2
19	тем или иным	1	2
20	вместе с тем	1	2
21	и то что	1	2
22	в зависимости от	1	2
23	же самое что	1	2
24	само по себе	1	2
25	мы говорим о	1	2
26	это не имеет	1	1
27	в том же	1	1
28	и тем самым	1	1
29	в этом смысле	3	1
30	на самом деле	3	1
31	остается совершенно не	1	1
32	мы не можем	1	1
33	в то же	2	1
34	со всеми своими	1	1
35	ни в каком	2	1
36	может быть правильно	1	1
37	она исходит из	1	1
38	не имеет места	1	1
39	в себя и	1	1
40	в другом случае	1	1
41	к тому что	1	1
42	влечет за собой	1	1
43	этого слова ведь	1	1
44	имеем в виду	2	1
45	в этом последнем	1	1
46	это и не	1	1
47	отношение к предмету	1	1
48	только по отношению	2	1
49	независимо от того	1	1
50	отношение к миру	1	1
51	но в этом	1	1
52	и может быть	2	1
53	в том смысле	1	1
54	не было бы	3	1
55	этот момент совершенно	1	1
56	той или иной	2	1
57	может быть понято	1	1
58	к нему в	4	1
59	в ту область	1	1
60	не может не	1	1
61	и по отношению	1	1
62	смысле этого слова	1	1
63	если бы оно	1	1
64	только в том	1	1
65	не может возникнуть	1	1
66	не есть просто	1	1
67	не существует все	1	1
68	именно в этой	1	1
69	иной чем в	1	1
70	с ним в	1	1
71	в каждом предмете	1	1
72	в первом случае	1	1
73	я не могу	1	1
74	тем не менее	2	1
75	а не как	1	1
76	во всяком случае	1	1
77	мы никогда не	1	1
78	и вопрос о	1	1
79	не совпадает с	1	1
80	того или иного	3	1
