N	4gram	Voloshinov_1	Formalny
1	в то же время	1	8
2	с одной стороны и	2	4
3	и не может быть	1	2
4	художественного произведения и его	1	2
5	как если бы оно	1	2
6	но в то же	1	2
7	все более и более	1	2
8	чтобы убедиться в этом	1	2
9	ничего общего с социологией	1	1
10	может быть более или	1	1
11	при таком понимании форма	1	1
12	не может быть и	2	1
13	общего с социологией не	1	1
14	в зависимости от того	1	1
15	на самом деле это	1	1
16	быть более или менее	1	1
17	бы то ни было	3	1
18	и в истории литературы	1	1
19	то же время не	1	1
20	в художественном произведении как	1	1
21	на самом же деле	1	1
22	убедиться в этом достаточно	1	1
