N	3gram	Medvedev_S_1	KulturaY
1	в том что	2	8
2	с одной стороны	1	4
3	и в этом	1	4
4	в связи с	1	4
5	а с другой	1	3
6	только то что	1	2
7	дело не в	2	2
8	не в том	2	2
9	сама по себе	1	2
10	по отношению к	2	2
11	а в том	1	1
12	хотя бы о	1	1
13	в то же	1	1
14	и в то	1	1
15	но она может	1	1
16	ровно ничего не	1	1
17	чуть ли не	1	1
18	а тем более	1	1
19	в противном случае	1	1
20	не выходит за	1	1
21	во всяком случае	1	1
22	в конечном счете	1	1
23	не должна быть	1	1
24	то же самое	1	1
25	то же время	1	1
26	и что на	1	1
27	выходит за пределы	1	1
28	именно в том	1	1
29	далеко еще не	1	1
30	это вовсе не	1	1
31	формальный метод и	1	1
32	друг от друга	1	1
33	по крайней мере	1	1
34	в те же	1	1
