N	4gram	Medvedev_V_1	Problemy
1	в то же время	5	5
2	в той или иной	1	3
3	но в то же	1	3
4	одно и то же	1	2
5	в то время как	1	2
6	с одной стороны и	2	1
7	большей или меньшей степени	2	1
8	в том числе и	2	1
9	до сих пор не	1	1
10	и так или иначе	1	1
11	и не может быть	2	1
12	и то же но	1	1
13	то это вовсе не	1	1
14	как если бы он	1	1
15	во время работы над	1	1
16	и т д но	1	1
17	иметь в виду что	1	1
18	говорит в письме к	1	1
19	в том или ином	1	1
20	в большей или меньшей	2	1
21	никогда не может быть	1	1
22	уже сама по себе	1	1
23	одну и ту же	1	1
