N	4gram	Potebnia_M_2	Vvedenie
1	в то же время	2	6
2	той мере в какой	1	5
3	в той мере в	1	5
4	с одной стороны и	1	3
5	вопрос о том что	1	3
6	одной и той же	1	2
7	дело в том что	1	2
8	состоит в том что	1	2
9	только после того как	1	1
10	в одном и том	1	1
11	отчет в том что	1	1
12	одно и то же	2	1
13	так а не иначе	1	1
14	он в то же	1	1
15	одном и том же	1	1
16	для того чтобы сделать	1	1
17	в том виде в	1	1
18	и т д и	1	1
19	но во всяком случае	3	1
20	и т д можно	1	1
21	них не было бы	1	1
22	том виде в каком	1	1
23	сама по себе не	2	1
24	одно из необходимых условий	1	1
25	в большей или меньшей	1	1
26	бы то ни было	1	1
27	том смысле в каком	1	1
28	одного и того же	6	1
29	всегда заключает в себе	1	1
