N	3gram	Bakhtin_Fr_4	Vvedenie
1	для того чтобы	3	20
2	о том что	2	12
3	в том что	1	12
4	не может быть	1	8
5	в то же	8	6
6	то же время	8	6
7	до сих пор	1	6
8	с другой стороны	3	5
9	с одной стороны	2	4
10	не только в	2	4
11	в этом отношении	1	4
12	в данном случае	1	4
13	но в то	1	3
14	можно сказать что	1	3
15	одной стороны и	1	3
16	как мы видели	2	3
17	подобно тому как	3	2
18	до наших дней	2	2
19	а также и	1	2
20	в известной мере	3	2
21	мы уже знаем	1	2
22	и со стороны	1	2
23	в конце концов	4	2
24	может быть и	1	2
25	здесь все время	1	2
26	как она есть	1	2
27	как мы уже	5	2
28	в связи с	1	2
29	смысле этого слова	1	2
30	дело в том	1	2
31	с точки зрения	2	2
32	к этому времени	1	2
33	то же самое	1	2
34	в соответствии с	1	2
35	с самого начала	3	1
36	в том же	1	1
37	с полной ясностью	1	1
38	и то что	1	1
39	как своего рода	1	1
40	прежде всего к	1	1
41	и в конце	1	1
42	он вовсе не	1	1
43	и в дальнейшем	1	1
44	в этой системе	3	1
45	одно и то	1	1
46	превратить его в	1	1
47	по своему характеру	1	1
48	это в свою	1	1
49	такой точки зрения	1	1
50	потому что это	1	1
51	все это не	1	1
52	и того же	1	1
53	и то же	1	1
54	на самом деле	1	1
55	как мы знаем	1	1
56	правда в очень	1	1
57	лицом к лицу	1	1
58	уже и в	1	1
59	и все прочие	1	1
60	более или менее	3	1
61	быть и не	1	1
62	одного и того	1	1
63	она прежде всего	1	1
64	в свою очередь	1	1
65	говорить о том	1	1
66	нужно сказать что	2	1
67	приводят к тому	1	1
68	свое самостоятельное существование	1	1
69	и так называемые	1	1
70	и до наших	1	1
71	же самое что	1	1
72	но и в	3	1
73	соответствии с этим	1	1
74	так как она	1	1
75	именно в этой	1	1
76	в отличие от	1	1
77	как раз в	1	1
78	точки зрения на	1	1
79	на эту тему	1	1
80	между ними и	1	1
