N	3gram	Medvedev_U_1	Myshleni
1	в том что	2	19
2	можно сказать что	1	6
3	то же самое	2	6
4	друг с другом	1	5
5	нам думается что	1	5
6	на то что	1	4
7	в первую очередь	1	3
8	до сих пор	2	3
9	в этом отношении	2	3
10	и в их	1	2
11	в этом смысле	2	2
12	в этой области	3	2
13	с другой стороны	3	2
14	в этом случае	1	2
15	в значительной мере	1	2
16	и то что	2	2
17	с тем что	1	2
18	не могут быть	2	2
19	не может быть	4	2
20	с одной стороны	1	1
21	сам по себе	1	1
22	этом смысле можно	1	1
23	проблем связанных с	1	1
24	может быть в	1	1
25	и в конце	1	1
26	на каждом шагу	2	1
27	отдельности и все	1	1
28	сделать больше чем	1	1
29	а для второго	1	1
30	то о чем	1	1
31	в конце концов	2	1
32	тех или иных	2	1
33	на первый план	1	1
34	у нас в	1	1
35	в отдельности и	1	1
36	же самое что	1	1
37	смысле можно сказать	1	1
38	для всех этих	1	1
39	в широком смысле	1	1
40	не только в	1	1
41	в самом деле	2	1
42	между тем сам	1	1
43	но верно и	1	1
44	в данном случае	1	1
45	что он и	1	1
46	является одним из	1	1
47	в этом плане	1	1
