N	2gram	Voloshinov_1	Myshleni
1	точки зрения	1	26
2	и в	3	23
3	с точки	1	18
4	не только	1	16
5	но и	1	14
6	в его	1	14
7	может быть	1	14
8	не может	4	12
9	и не	1	9
10	этой проблемы	1	8
11	то же	1	8
12	и на	1	8
13	в то	1	7
14	бы в	1	5
15	и все	1	5
16	если бы	1	5
17	тому что	1	5
18	к тому	1	4
19	мы видим	1	4
20	может не	1	3
21	связи с	1	3
22	а не	1	3
23	из этих	1	3
24	общения и	2	3
25	он в	1	3
26	ничего кроме	1	2
27	же время	1	2
28	тех же	1	2
29	с другими	1	2
30	для него	1	2
31	речь и	1	2
32	можно назвать	1	2
33	один из	2	2
34	несмотря на	1	2
35	на нее	1	2
36	на примере	1	2
37	его от	1	1
38	изменилось бы	2	1
39	ситуации и	1	1
40	позицию занимает	1	1
41	вопрос что	1	1
42	не менее	1	1
43	и больше	1	1
44	анализа и	1	1
45	своих работ	1	1
46	в лингвистике	1	1
47	именно с	1	1
48	прямо противоположную	1	1
49	во второй	1	1
50	и лингвистики	1	1
51	в ней	1	1
52	в анализе	1	1
53	социального общения	2	1
