N	4gram	Vygotskiy__3	Myshleni
1	заключается в том что	4	4
2	заключается в том чтобы	1	3
3	состоит в том что	1	3
4	или во всяком случае	1	2
5	на то что с	1	1
6	и в самом деле	9	1
7	в том что всякое	1	1
8	самом деле когда мы	1	1
9	в том и заключается	1	1
10	не только то что	1	1
11	только для того чтобы	1	1
12	в самом деле если	1	1
13	один и тот же	1	1
14	в том смысле что	1	1
15	том что всякое обобщение	1	1
16	для того чтобы с	1	1
17	все более и более	2	1
18	на то что он	1	1
19	то что он не	1	1
20	в полном согласии с	1	1
21	в том случае если	1	1
22	указывает на то что	3	1
23	в самом деле когда	3	1
24	заключается вовсе не в	1	1
25	мы должны были бы	1	1
26	только в том что	1	1
27	мы старались показать что	1	1
