N	3gram	Nazirov_Tr_1	Formalny
1	в связи с	1	10
2	не может быть	1	10
3	и т п	1	9
4	в то же	5	5
5	и в этом	1	5
6	в самом деле	1	5
7	то же время	5	5
8	во всяком случае	1	5
9	не могут быть	1	4
10	в высшей степени	1	4
11	сам по себе	1	3
12	так и в	3	3
13	и не может	1	3
14	с самого начала	1	2
15	к тому что	1	2
16	в отличие от	2	2
17	в том что	2	2
18	в применении к	1	2
19	между этими двумя	2	2
20	и в дальнейшем	2	2
21	но все же	2	2
22	в конце концов	1	2
23	с тем и	1	2
24	в таком виде	1	1
25	но в то	2	1
26	как и в	1	1
27	и должна быть	1	1
28	в этом романе	1	1
29	отметить что в	1	1
30	это может быть	1	1
31	вместе с ними	1	1
32	в той же	1	1
33	что он не	1	1
34	в этом случае	1	1
35	то что он	1	1
36	но при этом	1	1
37	и с тем	1	1
38	это и есть	1	1
39	может быть понят	1	1
40	смысле этого слова	1	1
41	все же не	1	1
42	самостоятельное значение и	1	1
43	и не могли	1	1
44	это было в	1	1
45	прежде всего необходимо	1	1
46	в известной степени	1	1
47	мы бы сказали	1	1
48	тем не менее	1	1
49	в данном случае	2	1
