N	4gram	Tiupa_Anal_1	Myshleni
1	с этой точки зрения	1	4
2	один и тот же	1	3
3	в такой же мере	1	3
4	одного и того же	2	3
5	в той мере в	2	3
6	состоит в том что	3	3
7	той мере в какой	2	2
8	же мере как и	1	2
9	в том что он	2	2
10	такой же мере как	1	2
11	в том числе и	1	1
12	и вместе с тем	1	1
13	в собственном смысле слова	1	1
14	одно и то же	1	1
15	то же самое время	2	1
16	в то же самое	2	1
17	одной и той же	1	1
18	стороны одной и той	1	1
19	не что иное как	4	1
20	мы имеем в виду	1	1
21	в той же мере	1	1
22	одни и те же	1	1
23	только в том что	1	1
24	есть не что иное	3	1
