N	3gram	Savitsky_P_1	Mirosoze
1	не может быть	1	17
2	не было бы	1	5
3	вместе с тем	1	5
4	в творчестве достоевского	1	4
5	но и в	2	4
6	заключает в себе	2	3
7	и не может	1	2
8	хотя бы и	1	2
9	не только в	4	2
10	потому что есть	1	2
11	он живет в	1	2
12	для того чтобы	1	2
13	– все это	1	1
14	разных точек зрения	1	1
15	в отличие от	1	1
16	и быть может	1	1
17	культурной традиции в	1	1
18	так раскрывается в	1	1
19	и еще в	1	1
20	и потому в	2	1
21	по сравнению с	1	1
22	нужно обратиться к	1	1
23	не в том	1	1
24	во всяком случае	1	1
25	в отношении к	5	1
26	но также и	1	1
27	в момент когда	1	1
28	есть прежде всего	1	1
29	в том что	4	1
30	с разных точек	1	1
