N	2gram	Voloshinov_1	Literetu
1	и не	1	22
2	и в	3	16
3	но и	1	14
4	не только	1	14
5	может быть	1	12
6	а не	1	12
7	то же	1	9
8	в то	1	9
9	не может	4	8
10	же время	1	7
11	точки зрения	1	7
12	к тому	1	6
13	в его	1	6
14	с точки	1	3
15	связи с	1	2
16	не менее	1	2
17	для него	1	2
18	во второй	1	2
19	искусство как	1	2
20	если бы	1	2
21	он в	1	2
22	художественного произведения	1	2
23	и на	1	2
24	один из	2	2
25	несмотря на	1	2
26	русской литературы	1	2
27	может и	1	1
28	исходя из	1	1
29	бы в	1	1
30	тех же	1	1
31	вопрос что	1	1
32	аудитории и	1	1
33	и все	1	1
34	в центре	2	1
35	с другими	1	1
36	если в	2	1
37	деятельности в	1	1
38	в школе	1	1
39	литературного произведения	1	1
40	нет и	1	1
41	на месте	1	1
42	в каждом	1	1
43	художественного целого	1	1
44	тому что	1	1
45	и поэтика	1	1
46	по своим	1	1
47	в ней	1	1
48	на нее	1	1
