N	4gram	Losev_Vesc_1	Myshleni
1	в то время как	1	5
2	заключается в том что	1	5
3	одного и того же	1	4
4	в том смысле что	1	2
5	когда мы говорим что	1	2
6	вопрос о том как	1	1
7	нем те или другие	1	1
8	можно только то что	1	1
9	с другой стороны как	1	1
10	это не значит что	1	1
11	в том или другом	1	1
12	сами по себе совершенно	1	1
13	не что иное как	7	1
14	с этой точки зрения	1	1
15	мы видим таким образом	1	1
16	до сих пор мы	1	1
17	не содержит в себе	1	1
18	а и в и	1	1
19	видим таким образом что	1	1
20	в нем те или	1	1
21	как видно уже из	1	1
22	есть не что иное	5	1
