N	3gram	Berdyaev_V_1	Formalny
1	и в этом	1	5
2	и т д	2	5
3	не могут быть	1	4
4	вместе с тем	1	4
5	так и в	1	3
6	с другой стороны	1	3
7	но и в	2	3
8	к тому что	3	2
9	то ни стало	1	2
10	и то и	1	2
11	в том что	2	2
12	но все же	1	2
13	в конце концов	1	2
14	то и другое	1	2
15	во что бы	1	1
16	и во всяком	1	1
17	не создает новых	1	1
18	как и в	1	1
19	и должна быть	1	1
20	что бы то	1	1
21	раз и навсегда	1	1
22	что не в	1	1
23	бы то ни	1	1
24	лишь в процессе	1	1
25	в ней и	1	1
26	очень важное место	1	1
27	по крайней мере	1	1
28	есть непрерывная борьба	1	1
