N	4gram	Propp_Isto_4	Vvedenie
1	и т д но	1	5
2	не что иное как	3	4
3	в том отношении что	1	3
4	есть не что иное	1	2
5	и т д в	1	2
6	только после того как	1	1
7	одно и то же	1	1
8	но это только одна	1	1
9	это только одна сторона	1	1
10	и т д такая	1	1
11	именно в этой форме	1	1
12	могло бы составить предмет	1	1
13	то же самое что	1	1
14	обстоит как раз наоборот	1	1
15	на этот вопрос мы	1	1
16	приводят к тому что	1	1
17	здесь не может быть	1	1
18	вовсе не в том	1	1
19	в широком смысле этого	1	1
20	не в том как	1	1
21	дело не только в	1	1
22	легко представить себе что	1	1
23	дело обстоит как раз	1	1
24	точно так же как	1	1
25	говорилось о том что	1	1
26	но вместе с тем	1	1
27	и т д мы	2	1
