N	3gram	Nazirov_Tv_1	Narrotol
1	в данном случае	2	8
2	не только в	2	6
3	в том что	6	5
4	к тому же	1	5
5	в то же	13	4
6	то же время	12	4
7	в соответствии с	3	4
8	по отношению к	1	3
9	тем не менее	2	3
10	о том что	5	2
11	друг для друга	1	2
12	можно сказать что	2	2
13	заключает в себе	1	2
14	в известном смысле	1	2
15	друг на друга	1	2
16	до сих пор	1	2
17	в отличие от	1	2
18	то же самое	1	2
19	с установкой на	1	2
20	в связи с	1	2
21	войне и мире	1	2
22	сами по себе	1	2
23	дело в том	3	2
24	и все же	3	2
25	в войне и	1	2
26	в свою очередь	1	2
27	не то что	1	1
28	с одной стороны	1	1
29	в финале рассказа	1	1
30	и его и	1	1
31	на протяжении всего	2	1
32	в первой главе	1	1
33	в этой связи	2	1
34	бы то ни	1	1
35	по себе а	1	1
36	точно так же	2	1
37	имеют для них	1	1
38	прошлого и будущего	2	1
39	и в то	2	1
40	что иное как	1	1
41	интересны не сами	1	1
42	все та же	1	1
43	это уже не	2	1
44	то ни было	1	1
45	к тому что	1	1
46	как и в	1	1
47	в чем он	1	1
48	и того же	1	1
49	подробнее об этом	1	1
50	но на этот	1	1
51	настоящего и будущего	1	1
52	как один из	1	1
53	пока что еще	1	1
54	и та же	2	1
55	бросается в глаза	1	1
56	на самом деле	2	1
57	он не может	1	1
58	внешнего и внутреннего	1	1
59	на втором плане	1	1
60	самым как бы	1	1
61	преступление и наказание	4	1
62	в русской литературе	2	1
63	и в самом	1	1
64	в конечном счете	4	1
65	только то что	1	1
66	по сути дела	3	1
67	одного и того	1	1
68	занимает особое место	1	1
69	что у него	1	1
70	для всего мира	1	1
71	и как бы	1	1
72	но при этом	1	1
73	одна и та	1	1
74	тем самым как	1	1
75	же время они	1	1
76	в отрыве от	1	1
77	и не мог	1	1
78	дело не только	1	1
79	с другой стороны	1	1
80	ее и не	1	1
81	в творчестве чехова	1	1
82	как и на	1	1
83	по крайней мере	2	1
84	не сами по	1	1
85	и т д	1	1
