N	3gram	Berdyaev_N_1	Problema
1	в том что	1	9
2	сами по себе	1	6
3	во всяком случае	1	6
4	с другой стороны	2	5
5	не может быть	4	5
6	в то время	1	4
7	то время как	1	4
8	когда мы говорим	2	3
9	о том что	1	3
10	можно было бы	1	3
11	как будто бы	1	3
12	та или иная	1	3
13	в том смысле	1	3
14	это значит что	1	2
15	до сих пор	1	2
16	же как и	1	2
17	только потому что	1	2
18	не значит что	3	2
19	не только в	1	2
20	ни в чем	1	2
21	но и в	1	2
22	в отличие от	1	2
23	мы говорим о	1	2
24	не имеют никакого	1	2
25	это и есть	1	1
26	ни в какие	1	1
27	так же как	2	1
28	но это есть	1	1
29	то это есть	1	1
30	и потому что	1	1
31	с одной стороны	2	1
32	и не в	1	1
33	в нем не	1	1
34	в ней нет	1	1
35	значение и не	1	1
36	как и в	1	1
37	равно как и	2	1
38	том и заключается	2	1
39	и совсем не	1	1
40	но все время	1	1
41	что в этом	1	1
42	и того же	1	1
43	дня и ночи	1	1
44	не есть принцип	1	1
45	и все они	1	1
46	и не был	1	1
47	и заключается что	2	1
48	не имеет никакой	1	1
49	к вопросу о	1	1
50	хотя и в	1	1
51	есть прежде всего	1	1
52	по существу своему	1	1
53	которые могут быть	1	1
54	но это уже	1	1
55	жизни а это	1	1
56	что в нем	2	1
57	одного и того	1	1
58	в том чтобы	1	1
59	в том и	2	1
60	а не в	1	1
61	это не есть	1	1
62	мы говорим что	1	1
63	это не значит	2	1
64	будет сказать что	1	1
65	для них не	1	1
