1	до сих пор	3	9
2	в том что	2	9
3	в самом деле	2	6
4	в свою очередь	1	6
5	о том что	2	4
6	с самого начала	1	4
7	к тому же	1	4
8	в то же	7	4
9	то же время	7	4
10	и т п	2	3
11	во всяком случае	2	3
12	о том как	1	3
13	в связи с	1	3
14	по отношению к	3	3
15	в этой связи	1	2
16	молодого человека в	1	2
17	хотя и не	1	2
18	с другой стороны	2	2
19	в конечном счете	1	2
20	именно потому что	1	2
21	в то время	1	2
22	в третий раз	1	1
23	до начала действия	1	1
24	все это делает	1	1
25	в том числе	1	1
26	и если бы	1	1
27	сих пор еще	1	1
28	и не может	2	1
29	даже не в	1	1
30	в построении образов	1	1
31	уже после опубликования	1	1
32	и никогда не	1	1
33	не зная о	1	1
34	в том же	2	1
35	друг за другом	1	1
36	об этом не	1	1
37	так и в	2	1
38	но при этом	1	1
39	в виду что	1	1
40	как уже говорилось	1	1
41	и в то	2	1
42	едва ли не	2	1
43	что у него	1	1
44	так и не	1	1
45	в отличие от	2	1
46	которую она должна	1	1
47	и т д	11	1
48	ничего общего с	1	1
49	и между ними	1	1
50	в случае с	1	1
51	в г в	1	1
52	том числе и	1	1
53	в соответствии с	4	1
54	в каждом из	1	1
55	с полным правом	2	1
56	к ней в	1	1
57	то по крайней	1	1
58	не сводится к	1	1
59	в первую очередь	1	1
60	мы понимаем что	1	1
61	и не стал	1	1
62	по крайней мере	2	1
63	даже если он	1	1
64	на то чтобы	1	1
65	по самой своей	2	1
66	можно принять за	1	1
67	отношении к ней	1	1
68	и в этом	1	1
