N	3gram	Nazirov_Tv_2	slovoVRo
1	и т п	2	23
2	в то же	7	12
3	то же время	7	12
4	той или иной	1	9
5	и т д	11	5
6	во всяком случае	2	5
7	и в то	2	5
8	но в то	1	4
9	с другой стороны	2	4
10	так и в	2	3
11	в романе в	1	3
12	и в том	1	2
13	в известном смысле	1	2
14	до сих пор	3	2
15	и в этом	1	2
16	в роман и	1	2
17	и не может	2	2
18	в то время	1	2
19	того или иного	1	2
20	можно было бы	1	2
21	не могут быть	1	2
22	или во всяком	1	2
23	между автором и	1	2
24	и в другом	1	2
25	в свою очередь	1	2
26	о том что	2	1
27	с самого начала	1	1
28	в нем самом	1	1
29	в творческом сознании	1	1
30	в одном из	2	1
31	не лежит в	1	1
32	начале xx века	1	1
33	со всех сторон	1	1
34	стерна и жан-поля	1	1
35	он еще не	2	1
36	именно потому что	1	1
37	как и в	1	1
38	в его романах	1	1
39	как и у	1	1
40	и в истории	1	1
41	из вильгельма мейстера	1	1
42	и прежде всего	1	1
43	в том что	2	1
44	не может быть	3	1
45	которые играют в	1	1
46	в в виноградов	1	1
47	в отличие от	2	1
48	это не значит	1	1
49	в нем и	1	1
50	то или иное	1	1
51	в стороне от	1	1
52	всего произведения в	1	1
53	но это не	1	1
54	дело в том	1	1
55	в первый раз	1	1
56	так что они	1	1
57	и нет ничего	1	1
58	то есть его	1	1
59	по крайней мере	2	1
60	в начале xx	1	1
