N	3gram	Tiupa_Narr_2	Tvorches
1	в то же	3	13
2	то же время	3	12
3	в том что	8	6
4	о том что	4	5
5	в конечном счете	3	4
6	и все же	2	3
7	по сути дела	1	3
8	в соответствии с	3	3
9	на самом деле	2	2
10	точно так же	2	2
11	и в то	1	2
12	можно сказать что	3	2
13	не только в	6	2
14	самим собой в	1	2
15	в данном случае	6	2
16	и т п	2	2
17	тем не менее	4	2
18	и к этому	1	1
19	с одной стороны	5	1
20	следует рассматривать в	1	1
21	от себя лично	1	1
22	дело не только	1	1
23	к жизни в	1	1
24	в связи с	1	1
25	в финале рассказа	1	1
26	он говорит о	1	1
27	что ведет к	1	1
28	до сих пор	1	1
29	особое место в	2	1
30	к тому же	4	1
31	в отличие от	5	1
32	к тому что	3	1
33	и того же	1	1
34	не означает что	1	1
35	что он вовсе	1	1
36	если же в	1	1
37	то же самое	1	1
38	и в других	1	1
39	я не могу	1	1
40	мы узнаем что	2	1
41	на первый взгляд	1	1
42	по отношению к	5	1
43	потому что я	1	1
44	так быстро что	1	1
45	не что иное	1	1
46	внешнего и внутреннего	1	1
47	имеет место в	1	1
48	целой жизни в	1	1
49	одного и того	1	1
50	что иное как	1	1
51	в известном смысле	3	1
52	он вовсе не	1	1
53	что у него	1	1
54	действительной жизни и	1	1
55	но при этом	3	1
56	прежде всего на	1	1
57	аналогичных действий в	1	1
58	чувство стыда за	1	1
59	не в его	1	1
60	только в качестве	1	1
61	у него есть	1	1
62	но в целом	1	1
63	только в двух	1	1
64	прошлое и будущее	1	1
65	не может не	1	1
66	и что в	1	1
67	хотя и не	2	1
68	и вследствие этого	2	1
69	это прежде всего	1	1
