N	3gram	Nazirov_Vr_1	Myslijsy
1	в том что	2	7
2	то что я	1	7
3	о том что	1	5
4	по крайней мере	1	5
5	не может быть	2	5
6	и в этом	1	4
7	до сих пор	1	4
8	а между тем	1	4
9	тем не менее	1	4
10	и то что	1	4
11	на то что	1	4
12	в то же	4	3
13	не только не	1	3
14	то же время	4	3
15	с точки зрения	2	3
16	во всяком случае	1	3
17	равно как и	1	2
18	в том же	1	2
19	заключается в том	1	1
20	над тем что	1	1
21	же время и	1	1
22	о том как	1	1
23	в мире а	1	1
24	с первого раза	1	1
25	что в нем	1	1
26	в это время	1	1
27	а следовательно и	1	1
28	для нас весьма	1	1
29	в примечании к	2	1
30	одним из первых	1	1
31	с другой стороны	1	1
32	может быть и	1	1
33	как и у	3	1
34	в той же	1	1
35	и не может	1	1
36	на первый взгляд	1	1
37	не вдаваясь в	1	1
38	речь идет о	1	1
39	а тем более	1	1
40	в этом отношении	1	1
41	и в самом	1	1
42	в связи с	3	1
43	давно уже не	1	1
44	не было бы	1	1
45	но при этом	1	1
46	точно так же	1	1
47	и все что	1	1
48	в свою очередь	1	1
49	в то время	1	1
