N	2gram	Voloshinov_1	RusskieA
1	и в	3	36
2	не только	1	22
3	но и	1	16
4	и на	1	10
5	может быть	1	8
6	один из	2	8
7	и не	1	6
8	связи с	1	4
9	из этих	1	4
10	тому что	1	4
11	к тому	1	4
12	не может	4	4
13	не менее	1	3
14	точки зрения	1	3
15	если в	2	3
16	то же	1	3
17	с точки	1	3
18	несмотря на	1	3
19	его от	1	2
20	в каждом	1	2
21	в его	1	2
22	именно с	1	2
23	в особенности	1	2
24	мы видим	1	2
25	а не	1	2
26	в ней	1	2
27	смысл и	1	1
28	исходя из	1	1
29	тех же	1	1
30	истории русского	1	1
31	и все	1	1
32	в то	1	1
33	можно назвать	1	1
34	во второй	1	1
35	так называемая	1	1
36	если бы	1	1
37	при сравнении	1	1
