N	3gram	Tiupa_Lite_1	slovoVRo
1	не может быть	1	15
2	в отличие от	5	12
3	в значительной степени	1	6
4	с одной стороны	2	5
5	в большинстве случаев	1	5
6	то же время	5	4
7	в том что	11	4
8	по отношению к	2	4
9	в то же	5	4
10	в отношении к	1	4
11	но все же	1	4
12	в зависимости от	1	4
13	но в то	1	3
14	в этом отношении	2	3
15	себя в них	1	3
16	с точки зрения	2	3
17	лишь тогда когда	1	2
18	а также и	1	2
19	во всяком случае	2	2
20	до сих пор	1	2
21	то есть от	1	2
22	не только в	4	2
23	в связи с	4	2
24	в свою очередь	1	2
25	слово как таковое	1	1
26	с самого начала	1	1
27	о том что	2	1
28	в евгении онегине	1	1
29	между тем как	1	1
30	в том числе	1	1
31	в пределах одной	1	1
32	дело не только	2	1
33	перед нами не	1	1
34	в один из	1	1
35	как это было	1	1
36	но может быть	1	1
37	единого и единственного	1	1
38	с другой стороны	1	1
39	и слова все	1	1
40	иметь в виду	1	1
41	однако и здесь	1	1
42	этот последний модус	1	1
43	в целом ряде	1	1
44	могли бы быть	1	1
45	по ту сторону	1	1
46	одна из форм	1	1
47	жизни на основании	1	1
48	может и не	1	1
49	как один из	1	1
50	до конца не	1	1
51	более и более	1	1
52	на то что	1	1
53	как это может	1	1
54	а во второй	1	1
55	для этой цели	1	1
56	не может и	1	1
57	в лучшем случае	1	1
58	жизни и в	1	1
59	и не только	1	1
60	именно в том	1	1
61	тех или иных	1	1
62	том что он	1	1
63	а не в	1	1
64	а не только	1	1
65	как например в	1	1
66	все более и	1	1
67	тем не менее	2	1
