N	3gram	Berdyaev_O_1	RusskieA
1	в том что	1	18
2	для того чтобы	3	6
3	о том что	1	4
4	не может быть	2	3
5	бросается в глаза	1	2
6	после того как	1	2
7	чем в других	1	1
8	том что в	1	1
9	о том как	1	1
10	в другом месте	1	1
11	и в этом	2	1
12	и в том	1	1
13	говорится что она	1	1
14	и остаются на	1	1
15	потому что в	1	1
16	на то что	1	1
17	как например в	1	1
18	как и в	1	1
19	и все это	1	1
20	то что в	1	1
21	в этом отношении	1	1
22	может быть назван	1	1
23	человека а не	1	1
24	смысле этого слова	1	1
25	но и в	2	1
26	а иногда и	1	1
27	во всяком случае	1	1
