N	2gram	Medvedev_I_1	Narrotol
1	и не	2	20
2	и в	1	19
3	в этом	2	17
4	а в	1	11
5	так и	1	9
6	с другой	1	8
7	по отношению	1	7
8	а также	1	7
9	отношению к	1	6
10	в основе	1	5
11	себя в	1	5
12	за границей	1	4
13	и с	3	4
14	другой стороны	1	4
15	он не	2	3
16	тем что	1	3
17	никогда не	1	3
18	о ней	1	3
19	а с	1	3
20	что в	2	3
21	жизни и	1	3
22	говорить о	1	2
23	все эти	1	2
24	и тот	1	2
25	а по	1	2
26	его личности	1	2
27	вплоть до	1	2
28	ничего не	2	2
29	то она	1	2
30	в значительной	1	2
31	для него	1	2
32	не случайно	1	2
33	после смерти	1	2
34	и др	1	2
35	а если	1	2
36	по существу	1	2
37	того же	1	1
38	жил в	1	1
39	и со	1	1
40	в целом	1	1
41	кто иной	1	1
42	видит в	1	1
43	в художественном	1	1
44	о жизни	1	1
45	от этого	1	1
46	и чрезвычайно	1	1
47	в первую	1	1
48	первую очередь	1	1
49	в них	1	1
50	и ничего	1	1
51	оказывается для	1	1
52	понимания жизни	1	1
53	было не	1	1
54	и сам	1	1
55	такого знания	1	1
56	с героем	1	1
57	не кто	1	1
58	если бы	1	1
59	при такой	1	1
60	у всех	1	1
61	того что	1	1
62	иной как	1	1
63	со всеми	1	1
64	то и	1	1
65	еще одной	1	1
66	не дает	1	1
67	не так	1	1
68	бы все	1	1
69	как о	1	1
70	очевидно что	1	1
71	как только	1	1
72	как отец	1	1
73	остается как	1	1
74	это было	1	1
75	по поводу	1	1
