N	4gram	Bakhtin_fo_1	Narrotol
1	в то же время	6	3
2	движение времени сюжета истории	1	1
3	имеет место слияние пространственных	1	1
4	становится художественно-зримым пространство же	1	1
5	и временных примет в	1	1
6	пространство же интенсифицируется втягивается	1	1
7	пространственных и временных примет	1	1
8	но и в других	2	1
9	интенсифицируется втягивается в движение	1	1
10	в движение времени сюжета	1	1
11	художественно-зримым пространство же интенсифицируется	1	1
12	примет в осмысленном и	1	1
13	осмысленном и конкретном целом	1	1
14	не для того чтобы	2	1
15	время здесь сгущается уплотняется	1	1
16	ни в чем не	2	1
17	слияние пространственных и временных	1	1
18	дело не только в	1	1
19	уплотняется становится художественно-зримым пространство	1	1
20	здесь сгущается уплотняется становится	1	1
21	не только в литературе	1	1
22	же интенсифицируется втягивается в	1	1
23	втягивается в движение времени	1	1
24	целом время здесь сгущается	1	1
25	с одной стороны и	2	1
26	к себе самому и	1	1
27	в той или иной	1	1
28	одного и того же	5	1
29	сгущается уплотняется становится художественно-зримым	1	1
30	в осмысленном и конкретном	1	1
31	как раз в том	1	1
32	и конкретном целом время	1	1
33	в то время как	2	1
34	и т п все	1	1
35	временных примет в осмысленном	1	1
36	себе самому и к	1	1
37	место слияние пространственных и	1	1
38	и в то же	4	1
39	самому и к другому	1	1
40	конкретном целом время здесь	1	1
