N	4gram	Voloshinov_1	Formalny
1	в то же время	5	8
2	в настоящее время в	1	3
3	и не может быть	1	2
4	но в то же	3	2
5	нет и не может	1	2
6	во что бы то	1	2
7	бы то ни стало	1	2
8	что бы то ни	1	2
9	начала и до конца	1	2
10	мы увидим что и	1	1
11	последовательно и до конца	2	1
12	не может пройти мимо	1	1
13	сводится к тому чтобы	1	1
14	что в данном случае	1	1
15	в первый период развития	2	1
16	теперь с точки зрения	1	1
17	художественной формы и ее	1	1
18	в зависимости от того	1	1
19	не имеющие отношения к	1	1
