N	4gram	Vinokur_Vv_1	Narrotol
1	состоит в том что	2	4
2	в то же время	5	3
3	точно так же как	1	2
4	той мере в какой	4	2
5	мы имеем дело с	1	2
6	в той мере в	4	2
7	с одной стороны и	3	1
8	в далеком прошлом и	1	1
9	не что иное как	4	1
10	с этой точки зрения	1	1
11	том виде в каком	1	1
12	тем не менее уже	1	1
13	одного и того же	2	1
14	в том или ином	1	1
15	дело не только в	1	1
16	есть не что иное	2	1
17	так а не иначе	1	1
18	что он вовсе не	1	1
19	в том виде в	1	1
20	ответ на этот вопрос	1	1
21	не в том как	1	1
