N	2gram	Medvedev_I_1	UchenyiS
1	и в	1	14
2	и не	2	8
3	в этом	2	7
4	в художественном	1	5
5	все это	1	5
6	художественного творчества	1	5
7	с другой	1	4
8	другой стороны	1	3
9	очевидно что	1	3
10	для него	1	3
11	неудивительно что	1	2
12	и с	3	2
13	не случайно	1	2
14	ничего не	2	2
15	по существу	1	2
16	тем что	1	2
17	это было	1	2
18	более чем	1	2
19	художественном творчестве	1	2
20	если бы	1	2
21	то и	1	1
22	точно и	1	1
23	он не	2	1
24	в первую	1	1
25	что при	1	1
26	в значительной	1	1
27	первую очередь	1	1
28	бы в	1	1
29	ученики и	1	1
30	без этого	1	1
31	так то	1	1
32	только для	1	1
33	что в	2	1
34	а для	1	1
35	того что	1	1
36	так и	1	1
37	так напр	2	1
38	и др	1	1
39	никогда не	1	1
40	творчества то	1	1
41	что для	1	1
42	значительной мере	1	1
