N	3gram	Propp_Morf_1	Marksizm
1	с точки зрения	2	20
2	не может быть	9	13
3	бы то ни	3	8
4	до сих пор	1	8
5	то ни было	2	8
6	в связи с	8	7
7	в настоящее время	3	6
8	с другой стороны	4	5
9	с самого начала	1	4
10	связи с этим	4	3
11	в большинстве случаев	3	3
12	можно сказать что	1	3
13	может быть и	2	3
14	для того чтобы	2	3
15	этот вопрос мы	1	3
16	в том что	3	3
17	в этом случае	8	3
18	в первом случае	3	3
19	мы не будем	2	3
20	но все же	3	3
21	в этом отношении	1	3
22	в высшей степени	1	3
23	в чем же	1	2
24	не могут быть	2	2
25	во всяком случае	2	2
26	какого бы то	1	2
27	и пр и	2	2
28	по отношению к	4	2
29	в какой степени	1	2
30	является одним из	1	2
31	тем не менее	4	2
32	в таком случае	1	2
33	мы скажем что	1	1
34	подобно тому как	5	1
35	с одной стороны	1	1
36	но если мы	1	1
37	вопрос в какой	1	1
38	может быть дано	1	1
39	сих пор не	1	1
40	он не дает	1	1
41	друг с другом	1	1
42	мы увидим дальше	1	1
43	во многих отношениях	1	1
44	оно может быть	2	1
45	же может быть	2	1
46	но кроме того	1	1
47	в точном смысле	1	1
48	до известной степени	1	1
49	входить в подробности	1	1
50	в этой главе	1	1
51	в другом случае	1	1
52	друг за другом	2	1
53	хотя бы только	1	1
54	к тому что	3	1
55	независимо от того	3	1
56	между прочим и	1	1
57	это значит что	1	1
58	целый ряд вопросов	1	1
59	на самом деле	4	1
60	они превращаются в	1	1
61	во всех случаях	1	1
62	вместо того чтобы	1	1
63	более или менее	2	1
64	между тем мы	1	1
65	до наших дней	2	1
66	может совершаться в	1	1
67	представители этой школы	1	1
68	как же может	1	1
69	не дает себя	1	1
70	в частности как	1	1
71	она могла бы	1	1
72	следует сказать что	1	1
73	мы переходим к	1	1
74	или во всяком	1	1
75	другой стороны оно	1	1
76	как мы увидим	4	1
77	том что он	1	1
78	от того как	1	1
79	к этому же	1	1
80	что же касается	1	1
81	более и более	1	1
82	все более и	1	1
83	это не значит	2	1
84	между собой и	1	1
85	во втором случае	1	1
