N	2gram	Medvedev_I_1	Myshleni
1	и в	1	25
2	что в	2	17
3	в основе	1	16
4	в этом	2	14
5	в целом	1	13
6	того что	1	10
7	и не	2	10
8	того чтобы	1	8
9	тем что	1	8
10	все эти	1	7
11	для того	1	7
12	понятий и	1	7
13	того же	1	6
14	от этого	1	6
15	со всеми	1	6
16	с другой	1	6
17	все это	1	6
18	так и	1	5
19	для него	1	5
20	если бы	1	5
21	бы что	2	4
22	то и	1	4
23	а в	1	4
24	никогда не	1	4
25	он не	2	4
26	от нее	1	4
27	могло бы	1	4
28	и сам	1	3
29	комплекс не	1	3
30	а с	1	3
31	другой стороны	1	3
32	по отношению	1	3
33	бы в	1	2
34	стороны он	1	2
35	отношению к	1	2
36	на котором	1	2
37	в эту	1	2
38	без этого	1	2
39	только что	1	2
40	цель и	1	2
41	в них	1	2
42	а по	1	2
43	а также	1	2
44	в значительной	1	1
45	и с	3	1
46	тех же	1	1
47	и чрезвычайно	1	1
48	них не	1	1
49	при такой	1	1
50	введение в	1	1
51	комплекс в	1	1
52	нисколько не	1	1
53	видит в	1	1
54	своего исследования	1	1
55	по существу	1	1
56	не так	1	1
57	и очень	1	1
58	что для	1	1
59	не остается	1	1
60	что при	1	1
61	с любым	1	1
62	доказать что	1	1
63	следующим образом	1	1
64	очевидно что	1	1
65	стр и	7	1
66	по поводу	1	1
67	точно и	1	1
68	бы его	1	1
69	не случайно	1	1
70	должен быть	2	1
71	утверждает что	1	1
