N	2gram	Medvedev_V_1	EvropaiC
1	в том	2	31
2	и в	2	24
3	том что	2	20
4	в этом	1	12
5	самом деле	1	12
6	все это	1	11
7	ясно что	1	8
8	в самом	1	8
9	по существу	1	7
10	и не	1	7
11	только в	1	6
12	так как	1	6
13	к этому	1	5
14	потому что	1	5
15	именно в	1	5
16	далеко не	1	5
17	столь же	1	5
18	хотя бы	1	4
19	в конце	2	4
20	в их	1	4
21	конце концов	2	4
22	то же	1	4
23	и т.д	1	4
24	том же	1	4
25	и то	1	4
26	чем больше	1	4
27	тем более	1	3
28	сводится к	1	2
29	в другом	1	2
30	гораздо более	1	2
31	совершенно ясно	1	2
32	не играет	1	2
33	и только	1	2
34	все то	1	2
35	все дело	1	2
36	в частности	1	2
37	в которых	1	2
38	в значительной	1	1
39	одно и	1	1
40	стоит на	1	1
41	крайней мере	1	1
42	этому и	1	1
43	а только	1	1
44	другом месте	1	1
45	так в	1	1
46	время в	1	1
47	я не	1	1
48	этом и	1	1
49	говоря о	1	1
50	и его	1	1
51	на одном	1	1
52	дело в	1	1
53	да и	1	1
54	с большой	1	1
55	зависят от	1	1
56	и мало	1	1
57	по крайней	1	1
58	которые они	1	1
59	же все	1	1
60	говорили в	1	1
61	техники и	1	1
62	главным образом	1	1
63	как же	1	1
64	и заключается	1	1
65	значит и	1	1
