N	3gram	Nazirov_Vr_1	Dialekti
1	с точки зрения	2	12
2	в том что	2	7
3	в то же	4	4
4	то же время	4	4
5	с другой стороны	1	4
6	и то же	1	4
7	одно и то	1	4
8	на то что	1	4
9	по крайней мере	1	4
10	в этом смысле	1	3
11	и в этом	1	3
12	в конце концов	1	3
13	может быть и	1	3
14	что в нем	1	3
15	не может быть	2	3
16	о том что	1	2
17	это и есть	1	2
18	точно так же	1	2
19	и в то	1	2
20	до сих пор	1	2
21	не с точки	1	2
22	а с точки	1	2
23	во всяком случае	1	2
24	в этом отношении	1	2
25	или по крайней	1	2
26	не было бы	1	2
27	не лучше ли	1	2
28	то что я	1	2
29	общего ни с	1	1
30	связи с этим	1	1
31	к нему с	1	1
32	все что ни	1	1
33	– т е	1	1
34	но в то	2	1
35	что это за	1	1
36	но это не	1	1
37	а между тем	1	1
38	и о том	2	1
39	все равно не	1	1
40	на первый взгляд	1	1
41	в то время	1	1
42	он сам в	1	1
43	ней ничего не	1	1
44	только об одном	1	1
45	имеется в виду	1	1
46	и перед ними	1	1
47	в связи с	3	1
48	мне и я	1	1
49	тем не менее	1	1
50	– это не	1	1
