N	4gram	Losev_Vlad_3	Myslijsy
1	в то же время	2	3
2	и в этом смысле	3	3
3	дело в том что	4	2
4	не что иное как	1	2
5	и притом не только	1	2
6	с одной стороны и	2	1
7	что бы то ни	2	1
8	лишь в том что	1	1
9	заключается в том что	1	1
10	тем не менее он	1	1
11	с этой точки зрения	1	1
12	таким а не другим	1	1
13	еще и потому что	2	1
14	бы то ни стало	2	1
15	который сам по себе	1	1
16	и в таком виде	1	1
17	так а не иначе	1	1
18	и то и другое	1	1
19	бы то ни было	1	1
20	и в том что	1	1
21	то чего я хочу	1	1
22	во что бы то	2	1
23	в таком случае эта	1	1
24	с такой точки зрения	1	1
25	тем не менее если	3	1
