N	2gram	Medvedev_B_1	KFilosof
1	и не	2	26
2	и в	1	22
3	а не	1	17
4	в своей	1	11
5	все это	2	10
6	не было	1	8
7	было бы	1	8
8	совершенно не	1	6
9	отнюдь не	1	6
10	все же	1	5
11	со всем	1	5
12	не только	1	5
13	что в	1	4
14	еще не	1	3
15	должна быть	1	3
16	на самом	1	3
17	для которой	1	3
18	и на	1	3
19	до конца	1	3
20	в ней	2	3
21	вопрос о	1	2
22	говорить о	1	2
23	было и	1	2
24	прежде всего	1	2
25	так и	1	2
26	и потому	1	2
27	не о	1	2
28	не со	1	2
29	в области	1	2
30	в данном	1	2
31	в значительной	1	1
32	же не	1	1
33	во всяком	1	1
34	является только	1	1
35	и ее	1	1
36	можно в	1	1
37	и во	1	1
38	об этом	1	1
39	точке зрения	1	1
40	одной из	1	1
41	между ними	1	1
42	представляется нам	1	1
43	как таковому	1	1
44	к ней	1	1
45	значительной степени	1	1
46	и полнее	1	1
47	и о	1	1
48	бы только	1	1
49	всяком случае	1	1
50	творчества и	1	1
51	видеть в	2	1
52	так по	1	1
53	что все	1	1
54	нет но	1	1
55	области методологии	1	1
56	более что	1	1
57	его не	1	1
58	всего в	1	1
59	не следует	1	1
60	говорить об	1	1
61	следует конечно	1	1
62	этой книги	1	1
63	признать его	1	1
