N	4gram	Vygotskiy__7	Istorich
1	в то время как	2	3
2	в том что они	1	2
3	то же самое что	2	2
4	с одной стороны и	3	1
5	но если это так	1	1
6	одной стороны и его	1	1
7	содержит в себе ничего	1	1
8	само по себе но	1	1
9	приводит к тому что	2	1
10	для этого мы должны	1	1
11	не содержат в себе	2	1
12	и в соответствии с	1	1
13	в самое последнее время	1	1
14	в силу того что	1	1
15	не чем иным как	2	1
16	на самом же деле	1	1
17	не содержит в себе	1	1
18	не может быть понят	1	1
19	только в самое последнее	1	1
20	внимание на то что	1	1
21	так же как и	1	1
22	как мы увидим ниже	1	1
23	не что иное как	1	1
24	встречается не так часто	1	1
25	есть не что иное	1	1
