N	3gram	Tiupa_Disk_2	KulturaY
1	в том что	6	10
2	с точки зрения	2	8
3	в самом деле	1	7
4	с другой стороны	1	7
5	по крайней мере	1	6
6	тем не менее	1	5
7	во всяком случае	1	5
8	не может быть	3	4
9	в то же	4	3
10	в этом отношении	4	3
11	то же время	5	3
12	можно сказать что	1	2
13	тем что он	1	2
14	в этом случае	2	2
15	того или иного	1	2
16	в отличие от	12	2
17	говоря уже о	1	2
18	в конечном счете	1	2
19	но также и	1	2
20	в свое время	2	2
21	в наше время	2	2
22	не говоря уже	1	2
23	в соответствии с	2	2
24	можно говорить о	1	1
25	о том что	3	1
26	с самого начала	1	1
27	том что и	1	1
28	одной и той	1	1
29	том что в	1	1
30	в большинстве случаев	1	1
31	бы то ни	1	1
32	дает себя знать	1	1
33	с одной стороны	4	1
34	не должно быть	1	1
35	и там где	1	1
36	в иных случаях	1	1
37	но и здесь	1	1
38	а также и	1	1
39	как и в	5	1
40	в первую очередь	2	1
41	не в том	1	1
42	это своего рода	1	1
43	то ни было	1	1
44	не более чем	2	1
45	для данного речевого	1	1
46	и в частности	1	1
47	мере в какой	1	1
48	и прежде всего	2	1
49	все дело в	1	1
50	одном и том	1	1
51	состоит в том	2	1
52	и характерное для	1	1
53	и то что	2	1
54	по природе своей	2	1
55	речь идет о	1	1
56	и той же	1	1
57	в значительной степени	1	1
58	той мере в	1	1
59	в силу своей	1	1
60	только то что	1	1
61	не могут быть	1	1
62	и том же	1	1
63	прежде всего в	1	1
64	и формируется в	1	1
65	но это не	1	1
66	дело в том	2	1
67	не только от	1	1
68	в той мере	1	1
69	в данном случае	6	1
70	можно утверждать что	1	1
