N	4gram	Tiupa_Narr_2	Vvedenie
1	в то же время	3	6
2	той мере в какой	2	5
3	в той мере в	2	5
4	не что иное как	1	4
5	с одной стороны и	1	3
6	есть не что иное	1	2
7	ответ на этот вопрос	1	2
8	состоит в том что	4	2
9	так а не иначе	1	1
10	в той или иной	1	1
11	в далеком прошлом и	1	1
12	в том виде в	1	1
13	с этой точки зрения	1	1
14	в том или ином	1	1
15	том виде в каком	1	1
16	тем не менее уже	1	1
17	мы имеем дело с	2	1
18	не в том как	1	1
19	дело не только в	1	1
20	точно так же как	2	1
21	что он вовсе не	1	1
22	одного и того же	1	1
