N	3gram	Kanaev_Sov_1	FransuaR
1	в то же	1	6
2	то же время	1	6
3	с точки зрения	5	5
4	до сих пор	1	4
5	не может быть	4	4
6	и во всех	1	3
7	все же в	1	3
8	с одной стороны	1	3
9	в свое время	1	3
10	не дает нам	1	2
11	мы должны еще	1	2
12	до наших дней	1	2
13	и в то	1	2
14	во всяком случае	2	2
15	но все же	1	2
16	и в начале	1	2
17	мы знаем что	1	1
18	еще раз подчеркнуть	1	1
19	ровно ничего не	1	1
20	дело в том	1	1
21	по отношению к	1	1
22	в настоящее время	2	1
23	одной стороны и	1	1
24	со всеми ее	1	1
25	и не может	1	1
26	и та же	1	1
27	и той же	1	1
28	не подлежит сомнению	2	1
29	не подлежит никакому	1	1
30	никакому сомнению что	1	1
31	все эти три	1	1
32	подлежит никакому сомнению	1	1
33	и тот же	1	1
34	должны еще раз	1	1
35	прежде всего необходимо	1	1
36	друг с другом	2	1
37	и во всей	1	1
38	таким образом он	1	1
39	не могут быть	1	1
40	одна и та	1	1
41	не может дать	1	1
42	только на его	1	1
43	мы видели что	3	1
44	именно в том	1	1
45	один и тот	1	1
46	в этом случае	1	1
47	на самом деле	1	1
48	более и более	1	1
49	и прежде всего	1	1
50	в новое время	1	1
51	как мы видим	1	1
52	это как бы	1	1
53	одной и той	1	1
54	в себе в	1	1
55	в том что	1	1
56	легла в основу	1	1
57	не является исключением	1	1
58	все более и	1	1
