N	4gram	Bakhtin_Fr_2	Freidism
1	в то же время	6	4
2	мы можем сказать что	1	3
3	один и тот же	1	3
4	одной и той же	1	3
5	но в то же	3	2
6	и не может быть	1	2
7	во всяком случае в	1	1
8	на этом мы можем	1	1
9	мы имеем в виду	1	1
10	то же время это	1	1
11	в целом ряде других	1	1
12	как мы уже сказали	1	1
13	таким образом он дает	1	1
14	ни в коем случае	1	1
15	не теряет своей силы	1	1
16	этом мы можем закончить	1	1
17	помимо воли и сознания	1	1
18	но даже и не	1	1
19	на самом же деле	1	1
20	или во всяком случае	1	1
21	не может быть ничего	1	1
