N	3gram	Medvedev_S_1	Dialekti
1	в том что	2	9
2	по крайней мере	1	7
3	в то же	1	6
4	ровно ничего не	1	6
5	то же время	1	6
6	сама по себе	1	5
7	это и есть	1	4
8	не в том	2	4
9	и стало быть	1	4
10	и в этом	1	3
11	тем более не	1	3
12	о том как	1	2
13	и в то	1	2
14	ни на что	1	2
15	должно было бы	1	1
16	том как же	1	1
17	это и будет	1	1
18	в конце концов	2	1
19	на первый план	1	1
20	именно на этот	1	1
21	все же это	1	1
22	и как только	1	1
23	но только в	1	1
24	что данный субъект	1	1
25	не было бы	1	1
26	и мы еще	1	1
27	более не наука	1	1
28	в связи с	1	1
29	в лучшем случае	1	1
30	и мы не	1	1
31	мы переходим к	1	1
32	далеко еще не	1	1
33	друг от друга	1	1
34	не может не	1	1
