N	4gram	Potebnia_M_4	Analitik
1	в то же время	3	6
2	и не может быть	1	4
3	не что иное как	2	4
4	мы имеем дело с	1	3
5	есть не что иное	1	3
6	одного и того же	1	2
7	нет и не может	1	2
8	слова до тех пор	1	1
9	только в том что	1	1
10	в чем и состоит	1	1
11	и та и другая	1	1
12	в том и состоит	1	1
13	одна и та же	1	1
14	в том случае если	1	1
15	и вместе с тем	1	1
16	одной и той же	1	1
17	уже не могут быть	1	1
18	случае мы имеем дело	1	1
19	в том числе и	1	1
20	до тех пор пока	2	1
21	по отношению ко всем	1	1
22	один и тот же	2	1
23	лишь в том случае	1	1
24	в том виде в	1	1
25	том виде в каком	1	1
26	ни прибавить ни убавить	1	1
