N	2gram	Medvedev_V_1	Istorich
1	и в	2	15
2	так как	1	14
3	и не	1	11
4	в этом	1	11
5	то же	1	10
6	в другом	1	9
7	потому что	1	9
8	том что	2	7
9	в том	2	6
10	только в	1	6
11	не будем	1	4
12	но это	1	4
13	и его	1	3
14	то чего	1	3
15	так в	1	3
16	в их	1	3
17	все это	1	3
18	главным образом	1	2
19	хотя бы	1	2
20	совершенно ясно	1	2
21	другом месте	1	2
22	и только	1	2
23	к чему	1	2
24	говорится в	1	2
25	да и	1	2
26	именно в	1	2
27	я не	1	2
28	и то	1	2
29	по существу	1	2
30	самом деле	1	2
31	в которых	1	2
32	имеется в	1	2
33	нет есть	1	1
34	сказать чтобы	1	1
35	для них	1	1
36	а только	1	1
37	за свою	1	1
38	сводится к	1	1
39	время в	1	1
40	роли не	1	1
41	здесь достаточно	1	1
42	связанным с	1	1
43	в книге	3	1
44	в самом	1	1
45	это далеко	1	1
46	далеко не	1	1
47	от других	1	1
48	в частности	1	1
49	к этому	1	1
50	есть ряд	1	1
51	ни к	1	1
