N	4gram	Medvedev_V_1	KulturaY
1	в том что оно	1	2
2	в то же время	5	2
3	а в том что	1	2
4	что на известной ступени	1	1
5	одно и то же	1	1
6	о том как возник	1	1
7	и в то же	3	1
8	ни в какой мере	1	1
9	только в том случае	1	1
10	занимает по отношению к	1	1
11	и т п все	1	1
12	но с другой стороны	1	1
13	в том случае если	1	1
14	с более или менее	2	1
15	и вместе с тем	1	1
16	с этой точки зрения	1	1
17	и т п для	1	1
18	не в том что	2	1
19	т е не в	1	1
20	в том смысле что	1	1
21	одним из моментов в	1	1
22	хотя бы и не	2	1
23	имеем в виду не	1	1
