N	3gram	Tiupa_Teor_1	StatiiOP
1	в том что	8	11
2	не может быть	4	5
3	о том что	1	4
4	в этом смысле	2	4
5	с другой стороны	5	4
6	в то время	1	4
7	с точки зрения	3	4
8	по крайней мере	1	4
9	может быть это	1	3
10	в то же	5	3
11	то же время	5	3
12	в связи с	1	3
13	состоит в том	5	3
14	с одной стороны	2	2
15	говорит что он	1	2
16	себе отчет в	1	2
17	а с другой	2	2
18	к тому что	2	2
19	в русской поэзии	2	2
20	может быть назван	1	2
21	мы имеем в	3	2
22	а а а	1	2
23	заключается в том	1	2
24	тем не менее	3	2
25	в литературных произведениях	1	1
26	из этих двух	1	1
27	по большей части	1	1
28	не было и	1	1
29	одной из своих	1	1
30	или иной мере	1	1
31	приводит к тому	2	1
32	в одной из	1	1
33	в самом начале	2	1
34	обращает на себя	1	1
35	можно сказать что	2	1
36	не только не	2	1
37	иметь в виду	1	1
38	в данном отношении	1	1
39	дело не в	1	1
40	тем или иным	1	1
41	в той или	1	1
42	отчет в том	1	1
43	сойти с ума	1	1
44	то же самое	1	1
45	тот или иной	2	1
46	а а и	1	1
47	дай мне бог	1	1
48	я думаю что	1	1
49	на себя внимание	1	1
50	каждой из них	1	1
51	как в драме	1	1
52	так или иначе	4	1
53	в статье о	1	1
54	на котором он	1	1
55	в поле зрения	1	1
56	более или менее	2	1
57	остаться самим собой	1	1
58	в свою очередь	2	1
59	значении этого термина	1	1
60	той или иной	1	1
61	в русской литературе	2	1
62	в известном смысле	1	1
63	не дай мне	1	1
64	отдает себе отчет	1	1
65	так что она	1	1
66	и который в	1	1
67	мне бог сойти	1	1
68	для того чтобы	1	1
69	каждая из этих	1	1
70	является одним из	1	1
71	в известной степени	1	1
72	бог сойти с	1	1
73	на вопрос о	1	1
74	второй половины xviii	1	1
75	а а в	1	1
76	как раз в	1	1
