N	4gram	Bakhtin_sl_2	formyVre
1	в то же время	4	4
2	как мы уже сказали	1	3
3	не для того чтобы	1	2
4	в том числе и	1	2
5	и в то же	1	2
6	бы она ни была	1	2
7	в пространстве и времени	1	2
8	в средние века и	1	2
9	между эпосом и романом	1	1
10	в той или иной	3	1
11	даже там где они	1	1
12	приобретает новый смысл и	1	1
13	и т п наконец	1	1
14	он как мы уже	1	1
15	в зоне контакта с	1	1
16	лежит на границе между	2	1
17	это не значит конечно	1	1
18	границе между эпосом и	1	1
19	все более и более	1	1
20	и т п если	1	1
21	на границе между эпосом	1	1
22	как мы уже говорили	1	1
23	в точном смысле слова	1	1
24	и т п в	2	1
25	ни в чем не	2	1
26	во всех этих случаях	1	1
27	в том что он	1	1
28	но в то же	3	1
29	именно в том что	1	1
30	по самому своему существу	1	1
31	не значит конечно что	1	1
32	средние века и в	1	1
33	том что он не	1	1
34	мы наблюдаем те же	1	1
