N	4gram	Losev_Vlad_1	Vvedenie
1	в то же время	4	6
2	не что иное как	1	4
3	но в то же	1	3
4	есть не что иное	1	2
5	так или иначе но	1	2
6	и т д в	1	2
7	как мы уже знаем	1	2
8	одной и той же	1	2
9	дело в том что	4	2
10	одно и то же	1	1
11	уже о том что	1	1
12	в том виде в	1	1
13	и в этом смысле	1	1
14	говоря уже о том	1	1
15	том виде в каком	1	1
16	не говоря уже о	1	1
17	не может быть никакой	1	1
18	мы имеем дело с	1	1
19	еще и потому что	2	1
20	заключается в том чтобы	1	1
21	тех пор пока не	1	1
22	бы то ни было	1	1
23	также и то что	1	1
24	до тех пор пока	1	1
