N	4gram	Bakhtin_Fr_3	Analitik
1	в то же время	6	6
2	не что иное как	1	4
3	и не может быть	1	4
4	есть не что иное	1	3
5	в той или иной	2	3
6	бы то ни было	1	3
7	но в то же	4	2
8	нет и не может	1	2
9	какой бы то ни	1	2
10	большей или меньшей степени	2	1
11	в том числе и	2	1
12	а не так как	1	1
13	мы имеем в виду	1	1
14	то же время он	1	1
15	стороны одной и той	1	1
16	то же время оно	1	1
17	мы встречаемся с ним	1	1
18	той или иной форме	1	1
19	одной и той же	2	1
20	или во всяком случае	1	1
21	в большей или меньшей	2	1
