N	2gram	Medvedev_I_1	Analitik
1	и в	1	18
2	так и	1	14
3	в этом	2	14
4	и не	2	12
5	а в	1	10
6	что в	2	9
7	не случайно	1	8
8	отношению к	1	7
9	по отношению	1	7
10	с другой	1	7
11	для него	1	6
12	он не	2	6
13	того же	1	5
14	никогда не	1	5
15	другой стороны	1	5
16	и сам	1	4
17	себя в	1	4
18	и без	1	3
19	говорить о	1	3
20	в целом	1	3
21	ничего не	2	3
22	у и	1	3
23	по поводу	1	3
24	как смерть	1	3
25	все это	1	3
26	все эти	1	2
27	в них	1	2
28	в значительной	1	2
29	произведения и	1	2
30	тем что	1	2
31	со всеми	1	2
32	а для	1	2
33	вплоть до	1	2
34	более чем	1	2
35	пушкина и	1	2
36	с героем	1	2
37	очевидно что	1	2
38	а также	1	2
39	и тот	1	1
40	и смыслы	1	1
41	бы в	1	1
42	о ней	1	1
43	как отец	1	1
44	жизни и	1	1
45	от этого	1	1
46	оба они	2	1
47	при такой	1	1
48	в художественном	1	1
49	с литературными	1	1
50	в эту	1	1
51	того что	1	1
52	и о	1	1
53	что при	1	1
54	того чтобы	1	1
55	то она	1	1
56	другое дело	1	1
57	для того	1	1
58	автора и	1	1
59	и еще	1	1
60	а с	1	1
61	такого знания	1	1
62	это было	1	1
63	в основе	1	1
64	а позднее	1	1
65	могло бы	1	1
66	а по	1	1
67	я не	1	1
68	автор и	1	1
69	если бы	1	1
70	как о	1	1
71	и др	1	1
72	теперь я	1	1
73	а если	1	1
