N	2gram	Medvedev_V_1	Dialekti
1	и не	1	30
2	и в	2	18
3	потому что	1	14
4	в этом	1	12
5	все это	1	11
6	так как	1	11
7	то же	1	10
8	и то	1	9
9	в том	2	9
10	том что	2	9
11	ясно что	1	8
12	но это	1	8
13	хотя бы	1	6
14	да и	1	6
15	я не	1	5
16	как же	1	5
17	то я	1	4
18	одно и	1	4
19	крайней мере	1	4
20	в конце	2	4
21	по крайней	1	4
22	даже не	1	3
23	а только	1	3
24	в их	1	3
25	в самом	1	3
26	конце концов	2	3
27	гораздо более	1	3
28	только в	1	3
29	и почти	1	3
30	самом деле	1	3
31	в другом	1	2
32	говоря о	1	2
33	ничуть не	1	2
34	именно в	1	2
35	эпоха не	1	2
36	и мало	1	2
37	в частности	1	2
38	тем более	1	2
39	в которых	1	2
40	к этому	1	2
41	ни к	1	2
42	главным образом	1	1
43	для них	1	1
44	то чего	1	1
45	так в	1	1
46	чего не	1	1
47	и только	1	1
48	связаны и	1	1
49	к чему	1	1
50	говорится в	1	1
51	этом и	1	1
52	все время	1	1
53	и его	1	1
54	же с	1	1
55	другое дело	1	1
56	есть ряд	1	1
57	дело в	1	1
58	о теории	1	1
59	две большие	1	1
60	это далеко	1	1
61	далеко не	1	1
62	от других	1	1
63	я занимаюсь	1	1
64	столь же	1	1
65	по существу	1	1
66	имеется в	1	1
67	и заключается	1	1
