N	3gram	Savitsky_P_1	Problema
1	и т д	1	13
2	в том что	4	9
3	и то что	1	7
4	и в этом	1	6
5	сами по себе	3	6
6	во всяком случае	1	6
7	с другой стороны	1	5
8	не может быть	1	5
9	в то же	7	4
10	заключается в том	2	3
11	именно потому что	1	3
12	не было бы	1	3
13	та или иная	1	3
14	само по себе	1	3
15	в том виде	1	2
16	как бы она	1	2
17	по сравнению с	1	2
18	и в частности	1	2
19	бы она ни	1	2
20	и тем самым	1	2
21	мы не будем	1	2
22	и тем более	1	2
23	в настоящее время	1	2
24	в сравнении с	3	2
25	не только в	4	2
26	но также и	1	2
27	но и в	2	2
28	с точки зрения	3	2
29	в отличие от	1	2
30	так же как	1	1
31	только в виде	1	1
32	с одной стороны	3	1
33	вопросу о соотношении	1	1
34	ни на какие	1	1
35	в собственном смысле	1	1
36	сливаются в одно	1	1
37	для того чтобы	1	1
38	что в этом	1	1
39	и не только	2	1
40	но возможно также	1	1
41	более или менее	1	1
42	есть прежде всего	1	1
43	идет речь но	1	1
44	далеко не все	1	1
45	прежде всего мы	1	1
46	в отрыве от	1	1
47	если бы мы	1	1
48	мы все же	1	1
