N	3gram	Medvedev_V_1	Morfolog
1	и т д	14	47
2	мы видим что	1	9
3	в связи с	3	8
4	не может быть	8	8
5	подобно тому как	2	5
6	т д но	1	4
7	по отношению к	7	4
8	с другой стороны	8	4
9	не могут быть	1	3
10	с одной стороны	2	2
11	оно может быть	1	2
12	прежде всего следует	1	2
13	при помощи которой	1	2
14	может быть и	1	2
15	для того чтобы	3	2
16	в том что	5	2
17	в то время	1	2
18	более или менее	6	2
19	не значит что	1	2
20	то время как	1	2
21	следующим образом i	1	1
22	в таком случае	1	1
23	и в качестве	1	1
24	его т е	1	1
25	из них не	2	1
26	в то же	5	1
27	в том случае	1	1
28	о том как	3	1
29	одна из них	1	1
30	к этому же	1	1
31	другой мы видим	1	1
32	можно сказать что	4	1
33	один из его	1	1
34	в противном случае	2	1
35	иметь в виду	2	1
36	с теми или	1	1
37	дело не в	1	1
38	то прежде всего	1	1
39	к тому что	3	1
40	во всех этих	1	1
41	бросается в глаза	1	1
42	того или другого	1	1
43	о том что	3	1
44	ни одна из	1	1
45	что его можно	1	1
46	том случае если	1	1
47	может быть достигнуто	1	1
48	противном случае он	1	1
49	т е не	1	1
50	с этим и	1	1
51	вспомним хотя бы	1	1
52	и то же	1	1
53	имеет ничего общего	1	1
54	могло бы быть	1	1
55	в качестве примеров	1	1
56	можно было бы	2	1
57	и может быть	1	1
58	положительной или отрицательной	1	1
59	как это видно	2	1
60	в целом и	1	1
61	этого не могут	1	1
62	той или иной	1	1
63	те или иные	1	1
64	сих пор не	1	1
65	то же время	5	1
66	д но это	1	1
67	в том или	1	1
68	все эти явления	2	1
69	на этот вопрос	1	1
70	один из них	1	1
71	в применении к	1	1
72	не имеет ничего	1	1
73	одно и то	1	1
74	во всяком случае	1	1
75	в данном случае	1	1
76	хотя и не	1	1
77	до сих пор	1	1
