N	3gram	Nazirov_Vr_1	Istorich
1	до сих пор	1	6
2	точно так же	1	6
3	в том что	2	5
4	так же как	1	4
5	в связи с	3	4
6	о том что	1	2
7	что это за	1	2
8	не вдаваясь в	1	2
9	с другой стороны	1	2
10	не может быть	2	2
11	на то что	1	2
12	в другой раз	1	2
13	в третий раз	1	2
14	это и есть	1	1
15	связи с этим	1	1
16	о том как	1	1
17	его в том	1	1
18	в это время	1	1
19	не только не	1	1
20	они не совсем	1	1
21	к себе не	1	1
22	в себе силы	1	1
23	не все ясно	1	1
24	об этом говорят	1	1
25	и то же	1	1
26	но это не	1	1
27	но об этом	1	1
28	в родстве с	1	1
29	за что же	1	1
30	что у него	1	1
31	это время он	1	1
32	ответ на это	1	1
33	в высшей степени	1	1
34	и в котором	1	1
35	во время сна	1	1
36	тем не менее	1	1
