N	3gram	Berdyaev_O_1	Istorich
1	о том что	1	4
2	для того чтобы	3	3
3	после того как	1	3
4	не может быть	2	3
5	о том как	1	2
6	друг с другом	1	2
7	как и в	1	2
8	в том что	1	2
9	на то что	1	2
10	не потому ли	1	2
11	но и в	2	2
12	сам по себе	1	1
13	он не только	1	1
14	с которой связан	1	1
15	потому что в	1	1
16	прежде всего и	1	1
17	с тем что	2	1
18	и все эти	1	1
19	в одно время	1	1
20	в самом деле	1	1
21	что у него	2	1
22	не в ней	1	1
23	что есть на	1	1
24	все что есть	1	1
25	а не в	2	1
26	не в том	1	1
27	все еще не	1	1
28	само по себе	1	1
29	а иногда и	1	1
30	во всяком случае	1	1
31	это было бы	2	1
