N	4gram	Bakhtin_Pr_3	Tvorches
1	в то же время	12	12
2	но в то же	3	4
3	то же время он	1	2
4	в записках из подполья	2	2
5	босой и голодный проповедывать	1	1
6	на протяжении всего романа	2	1
7	а я иду босой	1	1
8	все более и более	1	1
9	новые идеи и разбиваю	1	1
10	и разбиваю ретроградов под	1	1
11	одного и того же	1	1
12	и голодный проповедывать новые	1	1
13	бы то ни было	4	1
14	на самом деле рассказ	1	1
15	разбиваю ретроградов под аустерлицем	1	1
16	и в то же	5	1
17	мы уже говорили что	2	1
18	уже в бедных людях	1	1
19	и в других романах	1	1
20	все плачут и целуют	1	1
21	я иду босой и	1	1
22	на самом же деле	1	1
23	голодный проповедывать новые идеи	1	1
24	проповедывать новые идеи и	1	1
25	а вместе с тем	1	1
26	иду босой и голодный	1	1
27	идеи и разбиваю ретроградов	1	1
