N	4gram	Voloshinov_1	Formalny
1	бы то ни было	1	4
2	всех областях идеологического творчества	1	2
3	если мы отвлечемся от	1	2
4	мы уже знаем что	1	2
5	во всех областях идеологического	1	2
6	мы можем сказать что	1	1
7	бы оно ни было	1	1
8	вступать между собою в	1	1
9	то же самое и	1	1
10	ни в коем случае	1	1
11	с этой точки зрения	1	1
12	а вместе с тем	1	1
13	так во всех областях	1	1
14	в нем нет и	1	1
15	мы имеем в виду	1	1
16	одних и тех же	1	1
17	одного и того же	1	1
18	каких бы то ни	1	1
19	дело в том что	1	1
20	и пр и пр	2	1
