N	2gram	Medvedev_B_1	Problema
1	и в	1	32
2	и не	2	31
3	не только	1	17
4	а не	1	15
5	у нас	3	14
6	так и	1	12
7	что в	1	12
8	прежде всего	1	10
9	об этом	1	10
10	отнюдь не	1	10
11	еще не	1	9
12	в данном	1	9
13	в своей	1	8
14	и о	1	8
15	и на	1	8
16	и ее	1	8
17	было бы	1	8
18	во всяком	1	7
19	все это	2	7
20	говорить о	1	6
21	таким образом	1	6
22	совершенно не	1	6
23	на самом	1	6
24	за пределы	1	6
25	далеко не	1	5
26	тем более	1	5
27	не было	1	4
28	никак не	1	4
29	и во	1	3
30	всяком случае	1	3
31	что все	1	3
32	другой стороны	1	3
33	с другой	1	3
34	теории литературы	1	3
35	как будто	1	3
36	можно было	2	3
37	крайней мере	1	2
38	кроме того	1	2
39	только одной	1	2
40	не то	2	2
41	и потому	1	2
42	не о	1	2
43	больше чем	2	2
44	со всем	1	2
45	по крайней	1	2
46	в области	1	2
47	все же	1	1
48	вопрос о	1	1
49	стоит на	1	1
50	было и	1	1
51	выходит за	1	1
52	должна быть	1	1
53	нас еще	1	1
54	к ней	1	1
55	данном художественном	1	1
56	нет но	1	1
57	будто бы	1	1
58	художественного произведения	1	1
59	точно и	1	1
60	о них	1	1
61	художественном произведении	1	1
62	является только	1	1
63	и нет	1	1
64	очень узко	1	1
65	представляется нам	1	1
66	только более	1	1
67	о смысловом	1	1
68	невозможны без	1	1
69	в пределах	1	1
70	теория литературы	1	1
