N	4gram	Potebnia_M_4	Vvedenie
1	в то же время	3	6
2	о том что такое	1	5
3	не что иное как	2	4
4	вопрос о том что	1	3
5	есть не что иное	1	2
6	заключается в том что	1	2
7	одной и той же	1	2
8	дело в том что	1	2
9	только после того как	1	1
10	само по себе должно	1	1
11	тем не менее не	1	1
12	можно сказать что в	1	1
13	в том виде в	1	1
14	для того чтобы определить	1	1
15	то же самое что	1	1
16	на этот вопрос мы	1	1
17	том виде в каком	1	1
18	не в том только	1	1
19	по отношению к нему	1	1
20	о том что можно	1	1
21	мы имеем дело с	1	1
22	том смысле в каком	1	1
23	одного и того же	1	1
24	до тех пор пока	2	1
25	ответа на этот вопрос	1	1
