N	3gram	Berdyaev_N_1	slovoVRo
1	не может быть	4	15
2	в отличие от	1	12
3	в значительной степени	1	6
4	с одной стороны	2	5
5	в большинстве случаев	1	5
6	в том что	1	4
7	в зависимости от	1	4
8	человеке и его	1	3
9	все эти формы	2	3
10	в новое время	1	2
11	во всяком случае	1	2
12	до сих пор	1	2
13	и в истории	1	2
14	например во франции	1	2
15	не только в	1	2
16	не могут быть	1	2
17	ни в чем	1	2
18	о том что	1	1
19	в том числе	1	1
20	и еще не	1	1
21	и не в	1	1
22	как это было	1	1
23	как и в	1	1
24	с другой стороны	2	1
25	xiv и xv	1	1
26	всех сферах жизни	1	1
27	не менее чем	1	1
28	она не может	2	1
29	в средние века	3	1
30	и не может	1	1
31	а не с	1	1
32	со всех сторон	3	1
33	и не могут	1	1
34	это не значит	2	1
35	сами по себе	1	1
36	хотя и в	1	1
37	может быть только	1	1
38	конечно не в	1	1
39	во всех сферах	3	1
40	в нем нет	2	1
41	но и в	1	1
42	том числе и	1	1
43	римской империи и	1	1
44	в нем не	1	1
45	а не в	1	1
46	в судьбах человеческого	1	1
47	мы говорим о	1	1
