N	4gram	Tiupa_Disk_2	Literetu
1	в то же время	4	7
2	не говоря уже о	1	3
3	с одной стороны и	2	2
4	в том числе и	1	2
5	бы то ни было	1	2
6	человеческого присутствия в мире	1	2
7	одних и тех же	1	1
8	было в том что	1	1
9	и другого в себе	1	1
10	мы живем под собою	1	1
11	речь не идет о	1	1
12	состоит в том что	2	1
13	под собою не чуя	2	1
14	в той или иной	1	1
15	живем под собою не	1	1
16	в другом и другого	1	1
17	между автором и читателем	1	1
18	собою не чуя страны	2	1
19	той или иной мере	1	1
20	себя в другом и	1	1
21	в данном случае не	1	1
22	субъекта объекта и адресата	1	1
23	другом и другого в	1	1
